id;region;target;policy;variable;period;value
490;RUS;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;37,361025
492;RUS;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;34,18425
494;RUS;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;38,1137625
132;USA;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);baseline;32,6056
314;USA;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;81,278275
316;USA;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;83,607625
318;USA;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;87,58125
320;USA;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;111,9916
322;USA;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;81,278275
324;USA;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;83,607625
326;USA;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;87,58125
328;USA;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;128,898275
330;USA;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;81,278275
332;USA;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;83,607625
334;USA;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;87,58125
336;USA;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;139,70305
338;USA;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;198,68605
496;USA;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;163,7782875
498;USA;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;152,827775
500;USA;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;142,2970875
502;USA;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;149,94445
504;USA;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;200,361375
506;USA;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;187,1843625
508;USA;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;175,3598625
510;USA;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;166,4114375
512;USA;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;191,5307875
514;USA;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;178,1020375
516;USA;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;162,5770375
518;USA;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;167,67785
520;USA;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;201,0993375
158;World;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);baseline;428,7827
340;World;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;567,688775
342;World;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;670,54565
344;World;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;744,2733
